recording_start,time,temperature,pH,dissolved_o2
,true,0,0,0,0false,1668746632175,0.00,6.357,0
false,1668746662175,0.00,6.358,0
false,1668746692175,0.00,6.359,0
recording_start,time,temperature,pH,dissolved_o2
,true,0,0,0,0
false,1668746760670,0.00,6.356,0
false,1668746790670,0.00,6.356,0
recording_start,time,temperature,pH,dissolved_o2
,true,0,0,0,0,
false,1668746872930,0.00,6.355,0
false,1668746902931,0.00,6.353,0
false,1668746932933,0.00,6.355,0
false,1668746962934,0.00,6.352,0
false,1668746992936,0.00,6.355,0
recording_start,time,temperature,pH,dissolved_o2
,true,0,0,0,0,
false,1668747022936,0.00,6.356,0
false,1668747047712,0.00,6.356,0
false,1668747052936,0.00,6.356,0
false,1668747077712,0.00,6.356,0
false,1668747082937,0.00,6.356,0
false,1668747107714,0.00,6.356,0
false,1668747112939,0.00,6.356,0
false,1668747137715,0.00,6.356,0
false,1668747142939,0.00,6.356,0
false,1668747167715,0.00,6.356,0
false,1668747172940,0.00,6.356,0
false,1668747197715,0.00,6.356,0
false,1668747202940,0.00,6.356,0
false,1668747227716,0.00,6.356,0
false,1668747232941,0.00,6.356,0
false,1668747257717,0.00,6.356,0
false,1668747262943,0.00,6.356,0
false,1668747287718,0.00,6.356,0
false,1668747292944,0.00,6.356,0
false,1668747317719,0.00,6.356,0
false,1668747322944,0.00,6.356,0
false,1668747347719,0.00,6.356,0
false,1668747352945,0.00,6.356,0
false,1668747377721,0.00,6.356,0
false,1668747382945,0.00,6.356,0
false,1668747407721,0.00,6.356,0
false,1668747412945,0.00,6.356,0
false,1668747437722,0.00,6.356,0
false,1668747442945,0.00,6.356,0
false,1668747467721,0.00,6.356,0
false,1668747472946,0.00,6.356,0
false,1668747497722,0.00,6.356,0
false,1668747502947,0.00,6.356,0
false,1668747527722,0.00,6.356,0
false,1668747532947,0.00,6.356,0
false,1668747557723,0.00,6.356,0
false,1668747562947,0.00,6.356,0
false,1668747587724,0.00,6.356,0
false,1668747592949,0.00,6.356,0
false,1668747617724,0.00,6.356,0
false,1668747622949,0.00,6.356,0
false,1668747647726,0.00,6.356,0
false,1668747652953,0.00,6.356,0
false,1668747677737,0.00,6.356,0
false,1668747682961,0.00,6.356,0
false,1668747707739,0.00,6.356,0
false,1668747712963,0.00,6.356,0
false,1668747737740,0.00,6.356,0
false,1668747742963,0.00,6.356,0
false,1668747767739,0.00,6.356,0
false,1668747772964,0.00,6.356,0
false,1668747797740,0.00,6.356,0
false,1668747802964,0.00,6.356,0
recording_start,time,temperature,pH,dissolved_o2
,true,0,0,0,0,
false,1668747827740,0.00,6.356,0
false,1668747832965,0.00,6.356,0
false,1668747840421,0.00,6.356,0
false,1668747857742,0.00,6.356,0
false,1668747862965,0.00,6.356,0
recording_start,time,temperature,pH,dissolved_o2
,true,0,0,0,0,
false,1668747870421,0.00,6.356,0
recording_start,time,temperature,pH,dissolved_o2
,true,0,0,0,0,
false,1668747887742,0.00,6.356,0
false,1668747892966,0.00,6.356,0
false,1668747896327,0.00,6.356,0
false,1668747900422,0.00,6.356,0
false,1668747917743,0.00,6.356,0
false,1668747922967,0.00,6.356,0
false,1668747926327,0.00,6.356,0
false,1668747930423,0.00,6.356,0
false,1668747947743,0.00,6.356,0
false,1668747952968,0.00,6.356,0
false,1668747956328,0.00,6.356,0
false,1668747960423,0.00,6.356,0
false,1668747977744,0.00,6.356,0
false,1668747982970,0.00,6.356,0
false,1668747986328,0.00,6.356,0
false,1668747990423,0.00,6.356,0
false,1668748007745,0.00,6.356,0
false,1668748012971,0.00,6.356,0
false,1668748016330,0.00,6.356,0
false,1668748020424,0.00,6.356,0
false,1668748037745,0.00,6.356,0
false,1668748042971,0.00,6.356,0
false,1668748046331,0.00,6.356,0
false,1668748050424,0.00,6.356,0
false,1668748067746,0.00,6.356,0
false,1668748072973,0.00,6.356,0
false,1668748076332,0.00,6.356,0
false,1668748080425,0.00,6.356,0
false,1668748097747,0.00,6.356,0
false,1668748102974,0.00,6.356,0
false,1668748106333,0.00,6.356,0
false,1668748110426,0.00,6.356,0
false,1668748127747,0.00,6.356,0
false,1668748132976,0.00,6.356,0
false,1668748136334,0.00,6.356,0
false,1668748140428,0.00,6.356,0
false,1668748157748,0.00,6.356,0
false,1668748162978,0.00,6.356,0
false,1668748166335,0.00,6.356,0
false,1668748170428,0.00,6.356,0
false,1668748187750,0.00,6.356,0
false,1668748192979,0.00,6.356,0
false,1668748196336,0.00,6.356,0
false,1668748200429,0.00,6.356,0
false,1668748217751,0.00,6.356,0
false,1668748222980,0.00,6.356,0
false,1668748226337,0.00,6.356,0
false,1668748230431,0.00,6.356,0
false,1668748247752,0.00,6.356,0
false,1668748252982,0.00,6.356,0
false,1668748256339,0.00,6.356,0
false,1668748260432,0.00,6.356,0
false,1668748277752,0.00,6.356,0
false,1668748282983,0.00,6.356,0
false,1668748286340,0.00,6.356,0
false,1668748290434,0.00,6.356,0
false,1668748307753,0.00,6.356,0
false,1668748312985,0.00,6.356,0
false,1668748316341,0.00,6.356,0
false,1668748320434,0.00,6.356,0
false,1668748337754,0.00,6.356,0
false,1668748342986,0.00,6.356,0
false,1668748346343,0.00,6.356,0
false,1668748350435,0.00,6.356,0
false,1668748367755,0.00,6.356,0
false,1668748372988,0.00,6.356,0
false,1668748376344,0.00,6.356,0
false,1668748380436,0.00,6.356,0
