time,temperature,pH,dissolved_o2
1667713442891,28.111,0,0
1667713472892,28.115,0,0
1667713502893,27.313,0,0
1667713532894,26.372,0,0
1667713562895,25.899,0,0
1667713592895,25.476,0,0
1667713622896,24.946,0,0
1667713652895,24.650,0,0
1667713682896,24.138,0,0
1667713712896,24.092,0,0
1667713742896,23.848,0,0
1667713772898,23.629,0,0
1667713802900,23.447,0,0
1667713832901,23.276,0,0
1667713862901,23.135,0,0
1667713892903,23.009,0,0
1667713922903,22.893,0,0
1667713952904,26.596,0,0
1667713982905,25.307,0,0
1667714012906,24.646,0,0
1667714042907,24.413,0,0
